LSOA code,Predicted_Hotspot_Probability
E01003929,0.9999964
E01002818,0.99999154
E01004699,0.99999094
E01004208,0.99999094
E01002828,0.99999046
E01004736,0.9999901
E01033706,0.99998915
E01033708,0.9999864
E01004306,0.9999864
E01004681,0.9999863
E01001943,0.99998593
E01000914,0.99998283
E01004661,0.9999826
E01033594,0.99998224
E01004755,0.9999819
E01001278,0.99998176
E01000855,0.9999814
E01004700,0.99997747
E01001876,0.99997544
E01004682,0.99997544
E01002831,0.99997413
E01033700,0.9999738
E01003939,0.9999721
E01003090,0.9999709
E01000552,0.99997056
E01033489,0.99997044
E01000931,0.9999691
E01004657,0.9999691
E01000550,0.9999689
E01004735,0.99996865
E01004761,0.9999684
E01002724,0.9999683
E01003981,0.9999676
E01033704,0.99996436
E01003934,0.999964
E01000545,0.99996185
E01001246,0.9999603
E01032583,0.9999598
E01003304,0.9999571
E01004698,0.99995697
E01004762,0.9999558
E01004068,0.9999553
E01004244,0.99995506
E01003961,0.9999541
E01000850,0.99995327
E01004658,0.9999527
E01003215,0.9999511
E01004702,0.9999485
E01002772,0.9999454
E01003053,0.9999453
E01000005,0.9999449
E01003969,0.99994326
E01001243,0.99993575
E01003303,0.99993575
E01001358,0.99993384
E01002766,0.9999337
E01002819,0.99993193
E01033100,0.9999293
E01002794,0.9999291
E01032767,0.99992657
E01004307,0.9999236
E01033132,0.9999231
E01002003,0.9999219
E01002852,0.99991894
E01004731,0.9999157
E01004525,0.9999143
E01033327,0.9999136
E01000872,0.9999112
E01003032,0.9999099
E01000918,0.9999087
E01000851,0.99990857
E01000916,0.99990857
E01002850,0.9999083
E01001745,0.9999082
E01032582,0.9999064
E01033603,0.99990296
E01004680,0.9999012
E01001877,0.9998975
E01001747,0.9998957
E01004662,0.9998872
E01001247,0.9998864
E01003207,0.9998838
E01000947,0.99988353
E01004693,0.99988234
E01001445,0.99987805
E01004750,0.9998766
E01001333,0.99987364
E01000143,0.99987113
E01002886,0.9998709
E01000586,0.99987006
E01004508,0.9998692
E01035668,0.999863
E01004654,0.9998627
E01004200,0.99986076
E01001731,0.9998574
E01000544,0.9998561
E01004675,0.9998522
E01032579,0.9998518
E01000141,0.9998505
E01001941,0.9998499
E01002840,0.99984574
E01003979,0.99983907
E01003783,0.99983823
E01000490,0.99983823
E01004234,0.9998373
E01004713,0.99982905
E01000972,0.99982697
E01004712,0.9998253
E01034217,0.99982494
E01004211,0.99982494
E01000642,0.9998246
E01004309,0.9998241
E01004591,0.99982363
E01002877,0.99981624
E01003936,0.999816
E01002905,0.9998154
E01033490,0.9998153
E01033737,0.999808
E01000930,0.9998024
E01033593,0.99979526
E01032740,0.9997948
E01001429,0.9997942
E01004691,0.9997924
E01001412,0.99979156
E01001838,0.99979025
E01032739,0.9997863
E01004663,0.9997807
E01001849,0.9997769
E01000146,0.99977404
E01033591,0.9997733
E01002735,0.9997725
E01001042,0.99977
E01035691,0.9997671
E01003061,0.99976486
E01035711,0.9997589
E01002702,0.99975747
E01003689,0.999757
E01004067,0.9997559
E01003047,0.99975425
E01033491,0.9997454
E01035660,0.9997452
