LSOA code,Year,Month_Num,Burglary_Count
E01000001,2016,5,1
E01000001,2016,6,1
E01000001,2016,7,1
E01000001,2016,8,1
E01000001,2016,10,1
E01000001,2016,11,1
E01000001,2017,2,1
E01000001,2017,3,1
E01000001,2017,4,1
E01000001,2017,5,2
E01000001,2017,6,1
E01000001,2017,9,2
E01000001,2018,1,2
E01000001,2018,6,2
E01000001,2018,7,1
E01000001,2018,8,2
E01000001,2018,12,1
E01000001,2019,6,3
E01000001,2019,9,1
E01000001,2019,12,2
E01000001,2020,1,1
E01000001,2020,5,1
E01000001,2020,11,1
E01000001,2021,4,1
E01000001,2021,5,2
E01000001,2021,7,2
E01000001,2021,11,1
E01000001,2022,4,2
E01000001,2022,5,3
E01000001,2022,12,1
E01000001,2023,1,1
E01000001,2023,4,1
E01000001,2023,5,2
E01000001,2023,6,2
E01000001,2023,7,1
E01000001,2023,11,1
E01000001,2024,1,1
E01000001,2024,3,1
E01000001,2024,7,2
E01000001,2024,11,1
E01000001,2024,12,1
E01000002,2016,5,2
E01000002,2016,6,1
E01000002,2016,12,1
E01000002,2017,2,1
E01000002,2017,11,1
E01000002,2018,4,1
E01000002,2018,9,1
E01000002,2018,11,1
E01000002,2019,4,1
E01000002,2019,8,2
E01000002,2019,9,1
E01000002,2019,10,1
E01000002,2019,11,1
E01000002,2020,1,1
E01000002,2020,4,1
E01000002,2020,7,2
E01000002,2020,8,2
E01000002,2021,3,2
E01000002,2022,2,2
E01000002,2022,6,1
E01000002,2022,8,1
E01000002,2023,2,1
E01000002,2023,7,3
E01000002,2023,8,2
E01000002,2023,9,2
E01000002,2023,10,5
E01000002,2023,12,1
E01000002,2024,1,2
E01000002,2024,4,1
E01000002,2024,5,2
E01000002,2024,6,4
E01000002,2024,8,1
E01000002,2024,10,1
E01000003,2017,11,1
E01000003,2017,12,1
E01000003,2021,10,1
E01000003,2021,12,1
E01000003,2022,4,1
E01000003,2022,5,2
E01000003,2022,9,1
E01000003,2022,12,1
E01000003,2023,4,1
E01000003,2023,6,2
E01000003,2023,8,1
E01000003,2023,9,5
E01000003,2023,11,1
E01000003,2023,12,1
E01000003,2024,2,1
E01000003,2024,3,2
E01000003,2024,4,1
E01000003,2024,5,6
E01000003,2024,11,1
E01000005,2016,5,1
E01000005,2016,6,1
E01000005,2016,7,4
E01000005,2016,8,1
E01000005,2016,9,4
E01000005,2016,10,7
E01000005,2016,11,2
E01000005,2016,12,6
E01000005,2017,1,3
E01000005,2017,2,1
E01000005,2017,3,2
E01000005,2017,4,1
E01000005,2017,7,6
E01000005,2017,8,1
E01000005,2017,9,2
E01000005,2017,11,2
E01000005,2018,1,2
E01000005,2018,2,4
E01000005,2018,3,5
E01000005,2018,4,1
E01000005,2018,5,1
E01000005,2018,6,4
E01000005,2018,7,1
E01000005,2018,8,1
E01000005,2018,10,1
E01000005,2018,11,1
E01000005,2018,12,1
E01000005,2019,1,1
E01000005,2019,2,3
E01000005,2019,3,2
E01000005,2019,4,3
E01000005,2019,5,2
E01000005,2019,6,4
E01000005,2019,7,3
E01000005,2019,8,1
E01000005,2019,9,1
E01000005,2019,10,1
E01000005,2019,11,3
E01000005,2019,12,1
E01000005,2020,1,2
E01000005,2020,3,3
E01000005,2020,4,9
E01000005,2020,5,2
E01000005,2020,7,1
E01000005,2020,9,2
E01000005,2020,12,5
E01000005,2021,1,1
E01000005,2021,4,1
E01000005,2021,5,1
E01000005,2021,6,2
E01000005,2021,7,2
E01000005,2021,8,3
E01000005,2021,9,3
E01000005,2021,10,3
E01000005,2021,11,4
E01000005,2021,12,1
E01000005,2022,1,3
E01000005,2022,2,8
E01000005,2022,3,1
E01000005,2022,4,5
