LSOA code,Year,Month_Num,Burglary_Count,"Asian, Asian British or Asian Welsh: Bangladeshi","Asian, Asian British or Asian Welsh: Chinese","Asian, Asian British or Asian Welsh: Indian","Asian, Asian British or Asian Welsh: Other Asian","Asian, Asian British or Asian Welsh: Pakistani","Black, Black British, Black Welsh, Caribbean or African: African","Black, Black British, Black Welsh, Caribbean or African: Caribbean","Black, Black British, Black Welsh, Caribbean or African: Other Black",Does not apply_x,Mixed or Multiple ethnic groups: Other Mixed or Multiple ethnic groups,Mixed or Multiple ethnic groups: White and Asian,Mixed or Multiple ethnic groups: White and Black African,Mixed or Multiple ethnic groups: White and Black Caribbean,Other ethnic group: Any other ethnic group,Other ethnic group: Arab,"White: English, Welsh, Scottish, Northern Irish or British",White: Gypsy or Irish Traveller,White: Irish,White: Other White,White: Roma,Does not apply_y,"L1, L2 and L3: Higher managerial, administrative and professional occupations",L10 and L11: Lower supervisory and technical occupations,L12: Semi-routine occupations,L13: Routine occupations,L14.1 and L14.2: Never worked and long-term unemployed,L15: Full-time students,"L4, L5 and L6: Lower managerial, administrative and professional occupations",L7: Intermediate occupations,L8 and L9: Small employers and own account workers,School_Count,Precise_Daylight_Hours
E01000001,2016,5,1,4,66,49,37,2,8,3,0,0,18,28,8,2,46,22,822,0,32,316,11,125,618,11,33,16,37,84,369,71,115,0.0,15.87
E01000001,2016,6,1,4,66,49,37,2,8,3,0,0,18,28,8,2,46,22,822,0,32,316,11,125,618,11,33,16,37,84,369,71,115,0.0,16.37
E01000001,2016,7,1,4,66,49,37,2,8,3,0,0,18,28,8,2,46,22,822,0,32,316,11,125,618,11,33,16,37,84,369,71,115,0.0,15.8
E01000001,2016,8,1,4,66,49,37,2,8,3,0,0,18,28,8,2,46,22,822,0,32,316,11,125,618,11,33,16,37,84,369,71,115,0.0,14.4
E01000001,2016,10,1,4,66,49,37,2,8,3,0,0,18,28,8,2,46,22,822,0,32,316,11,125,618,11,33,16,37,84,369,71,115,0.0,10.5
E01000001,2016,11,1,4,66,49,37,2,8,3,0,0,18,28,8,2,46,22,822,0,32,316,11,125,618,11,33,16,37,84,369,71,115,0.0,8.4
E01000001,2017,2,1,4,66,49,37,2,8,3,0,0,18,28,8,2,46,22,822,0,32,316,11,125,618,11,33,16,37,84,369,71,115,0.0,9.93
E01000001,2017,3,1,4,66,49,37,2,8,3,0,0,18,28,8,2,46,22,822,0,32,316,11,125,618,11,33,16,37,84,369,71,115,0.0,11.93
E01000001,2017,4,1,4,66,49,37,2,8,3,0,0,18,28,8,2,46,22,822,0,32,316,11,125,618,11,33,16,37,84,369,71,115,0.0,13.93
E01000001,2017,5,2,4,66,49,37,2,8,3,0,0,18,28,8,2,46,22,822,0,32,316,11,125,618,11,33,16,37,84,369,71,115,0.0,15.87
E01000001,2017,6,1,4,66,49,37,2,8,3,0,0,18,28,8,2,46,22,822,0,32,316,11,125,618,11,33,16,37,84,369,71,115,0.0,16.37
E01000001,2017,9,2,4,66,49,37,2,8,3,0,0,18,28,8,2,46,22,822,0,32,316,11,125,618,11,33,16,37,84,369,71,115,0.0,12.43
E01000001,2018,1,2,4,66,49,37,2,8,3,0,0,18,28,8,2,46,22,822,0,32,316,11,125,618,11,33,16,37,84,369,71,115,0.0,8.07
E01000001,2018,6,2,4,66,49,37,2,8,3,0,0,18,28,8,2,46,22,822,0,32,316,11,125,618,11,33,16,37,84,369,71,115,0.0,16.37
E01000001,2018,7,1,4,66,49,37,2,8,3,0,0,18,28,8,2,46,22,822,0,32,316,11,125,618,11,33,16,37,84,369,71,115,0.0,15.8
E01000001,2018,8,2,4,66,49,37,2,8,3,0,0,18,28,8,2,46,22,822,0,32,316,11,125,618,11,33,16,37,84,369,71,115,0.0,14.4
E01000001,2018,12,1,4,66,49,37,2,8,3,0,0,18,28,8,2,46,22,822,0,32,316,11,125,618,11,33,16,37,84,369,71,115,0.0,7.93
E01000001,2019,6,3,4,66,49,37,2,8,3,0,0,18,28,8,2,46,22,822,0,32,316,11,125,618,11,33,16,37,84,369,71,115,0.0,16.37
E01000001,2019,9,1,4,66,49,37,2,8,3,0,0,18,28,8,2,46,22,822,0,32,316,11,125,618,11,33,16,37,84,369,71,115,0.0,12.43
E01000001,2019,12,2,4,66,49,37,2,8,3,0,0,18,28,8,2,46,22,822,0,32,316,11,125,618,11,33,16,37,84,369,71,115,0.0,7.93
E01000001,2020,1,1,4,66,49,37,2,8,3,0,0,18,28,8,2,46,22,822,0,32,316,11,125,618,11,33,16,37,84,369,71,115,0.0,8.07
E01000001,2020,5,1,4,66,49,37,2,8,3,0,0,18,28,8,2,46,22,822,0,32,316,11,125,618,11,33,16,37,84,369,71,115,0.0,15.87
E01000001,2020,11,1,4,66,49,37,2,8,3,0,0,18,28,8,2,46,22,822,0,32,316,11,125,618,11,33,16,37,84,369,71,115,0.0,8.4
E01000001,2021,4,1,4,66,49,37,2,8,3,0,0,18,28,8,2,46,22,822,0,32,316,11,125,618,11,33,16,37,84,369,71,115,0.0,13.93
E01000001,2021,5,2,4,66,49,37,2,8,3,0,0,18,28,8,2,46,22,822,0,32,316,11,125,618,11,33,16,37,84,369,71,115,0.0,15.87
E01000001,2021,7,2,4,66,49,37,2,8,3,0,0,18,28,8,2,46,22,822,0,32,316,11,125,618,11,33,16,37,84,369,71,115,0.0,15.8
E01000001,2021,11,1,4,66,49,37,2,8,3,0,0,18,28,8,2,46,22,822,0,32,316,11,125,618,11,33,16,37,84,369,71,115,0.0,8.4
E01000001,2022,4,2,4,66,49,37,2,8,3,0,0,18,28,8,2,46,22,822,0,32,316,11,125,618,11,33,16,37,84,369,71,115,0.0,13.93
E01000001,2022,5,3,4,66,49,37,2,8,3,0,0,18,28,8,2,46,22,822,0,32,316,11,125,618,11,33,16,37,84,369,71,115,0.0,15.87
