LSOA code,Borough,Burglary_Count,latitude,longitude
E01033595,Westminster,2864,51.51255972474919,-0.1412942715448555
E01032739,City of London,2375,51.5132646465817,-0.0861557905144666
E01004763,Westminster,2082,51.51615185155273,-0.1338912074312295
E01033708,Hackney,1896,51.5235351596478,-0.0823213387915337
E01004734,Westminster,1712,51.51151767461441,-0.1288369611692924
E01004765,Westminster,1593,51.51794507090353,-0.1429094074280267
E01004761,Westminster,1413,51.50773433647471,-0.1467890869187152
E01004735,Westminster,1391,51.51218582944478,-0.1164414328247167
E01004736,Westminster,1347,51.50609519294572,-0.1354414570675914
E01004714,Westminster,1343,51.5160893757661,-0.1529451600909181
E01000914,Camden,1335,51.518228672599065,-0.116087239213138
E01000919,Camden,1120,51.51489530912399,-0.1272888909645296
E01033583,Newham,1061,51.54527014206563,-0.0084158868348799
E01002724,Islington,1040,51.52238224393776,-0.1045232665280789
E01032740,City of London,1037,51.51416915268333,-0.1077474835179265
E01003929,Southwark,1019,51.50340071413796,-0.0933077313175226
E01000918,Camden,1006,51.51663548670272,-0.1226591608898983
E01000850,Camden,918,51.52050940330355,-0.1312623267673433
E01000855,Camden,895,51.52033988646303,-0.1255473528534221
E01001043,Croydon,879,51.369733295547405,-0.0989961753636158
E01033596,Westminster,865,51.51290694684831,-0.1363263933206242
E01002704,Islington,817,51.52281216832683,-0.0879811195283865
E01033594,Westminster,812,51.51690441657786,-0.1736932126304657
E01004699,Westminster,808,51.51398185645151,-0.1892543161168921
E01033706,Hackney,777,51.527660910800265,-0.0784255612991827
E01003927,Southwark,763,51.50208780504512,-0.0988818644839421
E01004307,Tower Hamlets,742,51.52002831005228,-0.0762804605269412
E01000851,Camden,740,51.52038413754531,-0.1368781746127996
E01000916,Camden,728,51.520553770834326,-0.1079966712092325
E01004654,Westminster,705,51.51422146080797,-0.193059121665148
E01004317,Tower Hamlets,704,51.523404975152985,-0.0697053735570253
E01004254,Tower Hamlets,690,51.51166864732166,-0.033739239716404
E01002554,Hillingdon,670,51.51423874996104,-0.4809473623441935
E01002968,Kingston upon Thames,665,51.41009589860722,-0.3038202755603752
E01001247,Ealing,663,51.52579999636633,-0.27670372486877
E01002731,Islington,651,51.55963222818864,-0.1175968365299667
E01004731,Westminster,649,51.50086984707012,-0.1337032853796483
E01004682,Westminster,647,51.51442034249017,-0.1762740544895995
E01001943,Hammersmith and Fulham,632,51.50731053230843,-0.2219225465405573
E01003318,Lewisham,623,51.44243220086874,-0.0228164446006947
E01001048,Croydon,621,51.37932379978323,-0.0972142025006521
E01003876,Richmond upon Thames,620,51.46086415163269,-0.3058410978886226
E01000600,Brent,609,51.53550349616143,-0.2718862337477206
E01000973,Camden,602,51.54737432857702,-0.1922161970742865
E01004197,Tower Hamlets,598,51.53302393647173,-0.0552150527003229
E01001014,Croydon,597,51.37476756346462,-0.11225229753216
E01003047,Lambeth,596,51.46427739403399,-0.1123987007881011
E01000863,Camden,595,51.53861361493142,-0.1438053855628785
E01003013,Lambeth,585,51.50047758663296,-0.1191668624342476
E01004242,Tower Hamlets,578,51.519495262169926,-0.0188255014021914
E01004397,Waltham Forest,570,51.58451651444673,-0.0234065680917588
E01001898,Hammersmith and Fulham,569,51.49313196041263,-0.2238598153246534
E01004609,Wandsworth,569,51.4626537510057,-0.217355657957334
E01000146,Barnet,568,51.570201546415575,-0.1980519800196871
E01033712,Hackney,563,51.53663982534843,-0.0600756383840188
E01004657,Westminster,562,51.5162692209971,-0.1585281491239923
E01004762,Westminster,560,51.51207110448009,-0.15550807022453
E01004749,Westminster,559,51.49220551070522,-0.1403360956618992
E01004661,Westminster,559,51.520832973689934,-0.1631909601448105
E01033704,Hackney,558,51.5418074330595,-0.0585471609177886
E01001748,Hackney,554,51.54857703278071,-0.0707859271571596
E01004474,Wandsworth,546,51.44530128247419,-0.1509764652499001
E01004306,Tower Hamlets,542,51.51964693093311,-0.0706559761532723
E01000854,Camden,542,51.52345951544386,-0.1355351094252571
E01001246,Ealing,541,51.53067031878446,-0.2585770909401406
E01001641,Greenwich,541,51.48261081733865,-0.0067110608258706
E01002818,Kensington and Chelsea,538,51.49890400629055,-0.1597135033272175
E01002770,Islington,538,51.567752025928016,-0.1380724241192307
E01003969,Southwark,538,51.481171512777934,-0.0928258168353574
E01003076,Lambeth,535,51.46744593890108,-0.094599029886858
E01004027,Southwark,535,51.50427930916764,-0.0805493351906935
E01004698,Westminster,534,51.51309937174105,-0.1849300221598827
E01004658,Westminster,532,51.51662064339942,-0.1633850713448163
E01000092,Barking and Dagenham,528,51.52036874799128,0.1095915171747234
E01002034,Haringey,526,51.605720791901774,-0.0676736529081024
E01001412,Enfield,524,51.677517784585056,-0.1184617773366349
E01004712,Westminster,523,51.52085267127009,-0.1557982789865384
E01033327,Lewisham,522,51.459686105516255,-0.0138821932369272
E01000524,Brent,521,51.5372386736944,-0.2512725785043027
E01002794,Islington,520,51.53711735853595,-0.1047050077786709
E01003939,Southwark,519,51.50309379888823,-0.0898206342870838
E01000642,Brent,516,51.5476161374719,-0.2231508791435625
E01002726,Islington,514,51.52646146429096,-0.111331136990087
E01003689,Redbridge,511,51.55666269664026,0.0736783818711485
E01004525,Wandsworth,509,51.4280691722748,-0.1661185888135214
E01004656,Westminster,509,51.518461676827656,-0.1877471728894726
E01000947,Camden,508,51.53384521052466,-0.1383579759565072
E01004713,Westminster,508,51.520126211518274,-0.1483054511431655
E01003074,Lambeth,507,51.45095922725679,-0.1068217900830166
E01004062,Southwark,505,51.468861618340014,-0.066876323404836
E01002037,Haringey,505,51.60481964575771,-0.0514802763402415
E01001045,Croydon,503,51.37389575277395,-0.0943223625751411
E01004067,Southwark,500,51.4723947639435,-0.0683493424841099
E01000586,Brent,500,51.53128268413628,-0.2162887151885995
E01002711,Islington,500,51.53280728570231,-0.1205189780713964
E01003617,Newham,497,51.54395931000988,0.001338696442213
E01000580,Brent,496,51.53891156298209,-0.207757585774382
E01002521,Hillingdon,495,51.5463482826124,-0.483628877117382
E01003783,Redbridge,494,51.56041332537666,0.0696574824638553
E01003039,Lambeth,494,51.4642267168264,-0.1401275763831097
E01001990,Haringey,493,51.58036417045939,-0.1219349418485365
E01002835,Kensington and Chelsea,493,51.49361239249508,-0.1809864141251186
E01033699,Hackney,491,51.55000001871263,-0.0735066432766016
E01003304,Lewisham,491,51.47718124663257,-0.0274242032819492
E01001667,Greenwich,490,51.49748939894948,0.0051654114136612
E01000545,Brent,486,51.54374017123221,-0.2021529382169276
E01003521,Newham,485,51.535273962926766,0.0535070938082113
E01001221,Ealing,485,51.51342624153416,-0.3042003735527032
E01004552,Wandsworth,482,51.46094988450032,-0.1661168455246063
E01002130,Harrow,480,51.58499187169097,-0.3325271955459422
E01000010,Barking and Dagenham,480,51.53690892030552,0.0781632311544074
E01001734,Hackney,479,51.55140647692019,-0.0534948319681973
E01003482,Newham,479,51.51674759728998,0.0794006495510625
E01003934,Southwark,478,51.506663108576205,-0.1028426290913626
E01001750,Hackney,474,51.54053426384708,-0.0791938637195971
E01001042,Croydon,474,51.37148467216748,-0.1041058992727249
E01001849,Hackney,473,51.545672197163725,-0.0225735993758105
E01001839,Hackney,472,51.54004980149032,-0.0542254240824923
E01001773,Hackney,472,51.53710004075956,-0.0754736847694366
E01032582,Lambeth,471,51.5025254564267,-0.1134256592349305
E01002886,Kensington and Chelsea,470,51.51356478822576,-0.1969439772173453
E01002819,Kensington and Chelsea,470,51.497440187359885,-0.1684913843684597
E01033490,Islington,467,51.52135688123816,-0.1002975774252316
E01032764,Tower Hamlets,465,51.53476088665207,-0.0211772060835079
E01004325,Tower Hamlets,465,51.516113274521935,-0.0664685389453953
E01001615,Greenwich,463,51.44483306255094,0.0507854033117338
E01001779,Hackney,463,51.53033968789907,-0.0923931983506158
E01001097,Croydon,460,51.33858622253918,-0.1139330724549573
E01033724,Hillingdon,458,51.533484842394,-0.4831188969832502
E01004648,Westminster,457,51.53385160807125,-0.1852261658250063
E01004681,Westminster,457,51.51835711488605,-0.1805915450829423
E01004224,Tower Hamlets,455,51.53976146866397,-0.0231390325437825
E01004715,Westminster,453,51.52215464388827,-0.1425566764322941
E01002003,Haringey,452,51.5859633280992,-0.1094201015607209
E01003296,Lewisham,452,51.46521610072418,-0.0146439353665036
E01002444,Hillingdon,451,51.47143751367798,-0.4696968265218409
E01004750,Westminster,450,51.49442989140444,-0.1457165432736945
E01000556,Brent,450,51.55545399471737,-0.2159478690930145
E01004422,Waltham Forest,449,51.5670933459029,-0.0410362861917539
E01003988,Southwark,448,51.482171851670216,-0.0579660822830678
E01000790,Bromley,448,51.371345746052654,0.0947115884553956
E01003131,Lambeth,448,51.44035831850043,-0.1290823743484514
E01004694,Westminster,448,51.51200455487471,-0.1797990662924901
E01000862,Camden,447,51.53826455744215,-0.1481376851013298
E01001361,Ealing,446,51.50879761635569,-0.3735425083772755
E01001644,Greenwich,445,51.47386328726658,-0.0162845973735304
E01033700,Hackney,444,51.54544103117464,-0.0747086472620837
E01004208,Tower Hamlets,443,51.52070433010483,-0.057427646208307
E01004700,Westminster,441,51.51347808448742,-0.1819401140487838
E01033727,Greenwich,441,51.482527059259695,-0.0233790427061202
E01001731,Hackney,440,51.54534596503356,-0.0527027896427062
E01002129,Harrow,438,51.57745168516587,-0.3401582690387501
E01003609,Newham,438,51.50087873285384,0.0440425499244512
E01004234,Tower Hamlets,438,51.53396220547769,-0.0415482955291792
E01004675,Westminster,436,51.5244321420572,-0.1981726839282265
E01003913,Southwark,435,51.470708577380286,-0.0895855973976445
E01001427,Enfield,435,51.61650688594294,-0.044136470695205
E01004238,Tower Hamlets,434,51.524298508263286,-0.0117417309201141
E01003215,Lewisham,432,51.47431549535153,-0.0360475573539184
E01004142,Sutton,432,51.36432153897094,-0.194623320885377
E01033711,Hackney,429,51.52787961591689,-0.088156586845141
E01004309,Tower Hamlets,428,51.51807314522053,-0.067261636524994
E01004430,Waltham Forest,428,51.556072730845386,-0.0113841612782047
E01001747,Hackney,426,51.55101608855685,-0.0768524456308966
E01003018,Lambeth,426,51.45639508533458,-0.1213332402928147
E01001559,Enfield,425,51.60903907321444,-0.0421499728985709
E01004695,Westminster,424,51.51111166965721,-0.1867351128361453
E01004074,Southwark,423,51.45164614002836,-0.0977435752911145
E01004663,Westminster,423,51.51875691545827,-0.1639970064588873
E01004392,Waltham Forest,421,51.58383420559771,-0.03051510697325
E01002356,Havering,419,51.575646388243584,0.1787614387119958
E01001507,Enfield,419,51.64593602695151,-0.0450144654782194
E01003058,Lambeth,418,51.46067736053314,-0.1245611533037093
E01000714,Bromley,418,51.40872478866399,-0.0277095697928561
E01033491,Islington,418,51.55333887326233,-0.1112902912030932
E01033726,Greenwich,417,51.4594528466388,0.0292334842226512
E01000676,Bromley,416,51.40700374856964,0.0123093695380965
E01002850,Kensington and Chelsea,416,51.49346785670646,-0.1925266291474115
E01003981,Southwark,414,51.50279658722797,-0.0860151030089561
E01004270,Tower Hamlets,414,51.5206155968109,-0.0334509059894015
E01002735,Islington,414,51.56633424777776,-0.1096144415701692
E01001751,Hackney,413,51.54266684541774,-0.0827034373766888
E01004653,Westminster,413,51.51602034204653,-0.1971294948130745
E01002747,Islington,412,51.56156637505869,-0.1017126366147956
E01032583,Southwark,412,51.50235096561194,-0.1045404785296665
E01032573,Hounslow,411,51.49280240572426,-0.2655780424864903
E01004693,Westminster,410,51.51119456732441,-0.1914971285534944
E01033489,Islington,410,51.523792306474064,-0.1000966529205642
E01004246,Tower Hamlets,410,51.51603081251882,-0.0137284799159039
E01000105,Barking and Dagenham,410,51.53821381586896,0.154009225568843
E01003213,Lewisham,410,51.46477228551285,-0.0304366786188587
E01000852,Camden,409,51.52511732103787,-0.1302712983000895
E01035716,Westminster,409,51.51283993250714,-0.1395248839704421
E01003035,Lambeth,408,51.46393483510031,-0.1347650430175719
E01001381,Ealing,408,51.5049304664372,-0.2569280112187548
E01000583,Brent,407,51.53546327806339,-0.2041732361705108
E01001756,Hackney,407,51.544256717308826,-0.0781816747310111
E01002031,Haringey,406,51.5911353008897,-0.1054744501693618
E01002805,Islington,406,51.56692690196494,-0.1140362225169228
E01033093,Wandsworth,405,51.46384167751077,-0.2052996409344876
E01000883,Camden,404,51.5470938339041,-0.1774092072678042
E01000872,Camden,403,51.55284604045421,-0.2085195442247438
E01001437,Enfield,402,51.65663638235041,-0.0222160899120215
E01002678,Hounslow,402,51.49115145890853,-0.344570725144738
E01003169,Lambeth,401,51.44490739119362,-0.106439473265474
E01003102,Lambeth,401,51.48499252813733,-0.1205730484717773
E01002795,Islington,401,51.54666926620399,-0.1070096663264141
E01004244,Tower Hamlets,400,51.51247863140605,-0.0177177459440935
E01003951,Southwark,400,51.439034177134445,-0.0824655721669344
E01003090,Lambeth,400,51.46725485882628,-0.1280976193986604
E01000403,Bexley,399,51.47939638557264,0.1794277937691271
E01003976,Southwark,398,51.49869368502647,-0.0779687938387815
E01002772,Islington,397,51.56578014715995,-0.1315223727316383
E01004293,Tower Hamlets,397,51.50637713785368,-0.0717695337198614
E01003778,Redbridge,396,51.57726102663605,0.0246784974809557
E01000211,Barnet,395,51.58807522601309,-0.1986430445830921
E01001429,Enfield,394,51.62443845525223,-0.0586846705452137
E01004057,Southwark,394,51.49949885770023,-0.0377575700119162
E01004022,Southwark,393,51.49758663280363,-0.0655644776857741
E01000141,Barnet,393,51.560877535653646,-0.2165268874140727
E01033707,Hackney,393,51.54059353785807,-0.0748909870074419
E01002077,Haringey,392,51.59521853977442,-0.0673304150174388
E01000913,Camden,392,51.56791532765232,-0.1658643257763157
E01001762,Hackney,392,51.54573428520544,-0.0590091241845344
E01002036,Haringey,391,51.60649158810463,-0.0623335733117066
E01000938,Camden,391,51.529842329996654,-0.1178364602948771
E01004262,Tower Hamlets,390,51.52460637205864,-0.0433358497654328
E01001760,Hackney,387,51.54832453307762,-0.0561560690303108
E01000490,Brent,387,51.544176015634726,-0.2072705998677398
E01000005,City of London,385,51.512525208583455,-0.0748212891487692
E01000920,Camden,385,51.52286589468508,-0.1156675001285481
E01002839,Kensington and Chelsea,384,51.49391825957738,-0.1895281217040025
E01004326,Tower Hamlets,382,51.51519093183565,-0.0567834614374587
E01000477,Brent,382,51.54128258346155,-0.2821691286353985
E01003250,Lewisham,382,51.490590514720296,-0.0380963498044311
E01003788,Redbridge,382,51.56552086875311,0.0637477994713595
E01002914,Kensington and Chelsea,382,51.48872172867378,-0.1697346566670575
E01000316,Barnet,381,51.6050219243712,-0.1749585978048124
E01001013,Croydon,380,51.379589268096126,-0.1062484086641287
E01004212,Tower Hamlets,380,51.52561182645289,-0.0563416246374544
E01004202,Tower Hamlets,380,51.53305212830281,-0.06115823051135
E01001109,Croydon,378,51.38662967024754,-0.0893248147911094
E01004438,Waltham Forest,378,51.569433596112106,0.0159532425038277
E01000251,Barnet,378,51.650404002734575,-0.1787865787573851
E01000194,Barnet,377,51.60975946351502,-0.2740228524651029
E01004005,Southwark,377,51.47247191379414,-0.0619296693103599
E01000144,Barnet,377,51.57504945879685,-0.1983719940662772
E01032722,Southwark,377,51.49137011490861,-0.0939571982810619
E01000933,Camden,376,51.54008904502437,-0.1917505456890941
E01002022,Haringey,376,51.58783977393952,-0.14727835754991
E01002706,Islington,376,51.52462749107861,-0.093906367737032
E01002068,Haringey,375,51.58522091315898,-0.0621956618094299
E01002785,Islington,375,51.55982263817621,-0.125974737645375
E01002831,Kensington and Chelsea,375,51.51664222989807,-0.2076966318952296
E01003619,Newham,374,51.53916101982063,0.001903507668287
E01001536,Enfield,374,51.65563017280641,-0.0858331191739929
E01002066,Haringey,374,51.587481785580295,-0.0701342667492222
E01000930,Camden,374,51.53737376885231,-0.1907371955842056
E01003475,Merton,373,51.43067009200485,-0.1912474857952079
E01002821,Kensington and Chelsea,372,51.495436066769656,-0.1742767444690663
E01001662,Greenwich,371,51.48678622107749,0.0071404802554066
E01004203,Tower Hamlets,371,51.52822713256077,-0.060401109269326
E01002859,Kensington and Chelsea,368,51.49326503987486,-0.1595893283134627
E01000296,Barnet,368,51.60308628451335,-0.1937772174446099
E01002684,Hounslow,368,51.48536559578642,-0.3110207263038961
E01003166,Lambeth,367,51.43778039502386,-0.1030627524562069
E01002370,Havering,367,51.51288676360002,0.1698620320744332
E01000719,Bromley,367,51.39671242277003,0.115310940458974
E01001777,Hackney,366,51.53059774315966,-0.0760627834054538
E01004063,Southwark,365,51.46773786059154,-0.0710572499468173
E01003303,Lewisham,364,51.47722479695406,-0.0332818847170151
E01003324,Lewisham,364,51.447938056329264,-0.0204856318385036
E01002762,Islington,363,51.55198730561261,-0.1198547721502909
E01000095,Barking and Dagenham,362,51.52493435160436,0.1400802515226469
E01004662,Westminster,362,51.52135141801346,-0.1605704704645284
E01003601,Newham,362,51.52080727654719,0.0340103813203579
E01003921,Southwark,362,51.47608896995409,-0.0942068545988494
E01003558,Newham,362,51.54503817991443,0.0247839313162589
E01003055,Lambeth,362,51.46200426203198,-0.1184105678393113
E01002293,Havering,361,51.59352435954972,0.223253141012362
E01000965,Camden,361,51.54238392927845,-0.1904689278183471
E01001425,Enfield,361,51.61748575747768,-0.0674777031045721
E01000740,Bromley,361,51.419334321657416,-0.0708994057671232
E01002852,Kensington and Chelsea,361,51.52705234692712,-0.219050505855837
E01002069,Haringey,360,51.58577211492721,-0.0755445505079799
E01001087,Croydon,360,51.41085643356423,-0.1190440469078321
E01000245,Barnet,359,51.58667026229087,-0.2217998046805168
E01000797,Bromley,359,51.41304784522837,-0.0397201349288132
E01033587,Barking and Dagenham,358,51.53186416069439,0.0750232567343586
E01003030,Lambeth,358,51.45338233890442,-0.1453054171372083
E01001249,Ealing,358,51.51186092278931,-0.3225448821707825
E01001979,Haringey,358,51.59364823215569,-0.0713143982002372
E01001322,Ealing,357,51.54502921888883,-0.3649087309689806
E01001519,Enfield,356,51.63227065545144,-0.1287387948232063
E01004452,Waltham Forest,355,51.61633675390116,-0.0210713428365995
E01001164,Croydon,355,51.41823308406677,-0.0824472793147213
E01002734,Islington,355,51.56355559475546,-0.1082577236930677
E01004683,Westminster,355,51.51339302771935,-0.1713376399014438
E01003170,Lambeth,355,51.44342269056242,-0.0972104795044878
E01002029,Haringey,353,51.59550286100696,-0.1122497913867036
E01000129,Barnet,353,51.60307615217541,-0.2635679154651384
E01004321,Tower Hamlets,352,51.51582456451091,-0.061914509202244
E01003317,Lewisham,352,51.446775088519,-0.0277056375360623
E01033585,Newham,352,51.51423908885666,0.0110792645575046
E01001994,Haringey,352,51.582770839944885,-0.1599591786987851
E01002827,Kensington and Chelsea,351,51.508126102205466,-0.1928533723973013
E01003186,Lambeth,351,51.47250818626847,-0.1149393877667484
E01004310,Tower Hamlets,351,51.516479225414265,-0.0742986722856696
E01000931,Camden,351,51.543746534373966,-0.1979269602722677
E01001780,Hackney,350,51.52784126796134,-0.0846495747192173
E01000859,Camden,350,51.54084534013296,-0.1535836771077291
E01002742,Islington,350,51.55973237221795,-0.0972893368831896
E01000138,Barnet,350,51.5641998195735,-0.2058948294935119
E01000560,Brent,349,51.549951090834085,-0.2160328192390393
E01000208,Barnet,349,51.58565235078489,-0.1671250985201256
E01002871,Kensington and Chelsea,349,51.50756137091426,-0.2082128464049066
E01002070,Haringey,349,51.5865231453496,-0.080260140643784
E01000943,Camden,348,51.526164668897046,-0.1273446237652903
E01000111,Barking and Dagenham,348,51.56902335053328,0.1446738219324284
E01001527,Enfield,348,51.61783081125102,-0.1160253688551922
E01002565,Hounslow,348,51.48906652203805,-0.3175681891346801
E01000738,Bromley,348,51.40333369196395,0.1119805765418596
E01002078,Haringey,348,51.58669237463706,-0.0561876783973164
E01002719,Islington,347,51.54374253990702,-0.0975268856928195
E01000972,Camden,347,51.54950957625306,-0.1841513942945009
E01000861,Camden,347,51.53909235700316,-0.1393484282059618
E01002702,Islington,347,51.52791245157575,-0.0957531793653193
E01003515,Newham,346,51.50851938645536,0.0324655630418608
E01004444,Waltham Forest,346,51.57964799061119,-0.0290072567770782
E01004315,Tower Hamlets,346,51.52617896852792,-0.0720702400548037
E01001997,Haringey,346,51.59380430006878,-0.1446602139036672
E01004691,Westminster,345,51.501502689040784,-0.1558752178896387
E01033591,Redbridge,345,51.56096916552637,0.088796798614262
E01003246,Lewisham,345,51.48350762273185,-0.0366906401727625
E01001739,Hackney,345,51.55501775249164,-0.0847835242597254
E01004252,Tower Hamlets,345,51.51347433078001,-0.0255097865960575
E01032646,Southwark,344,51.50120774007564,-0.0812090470262248
E01001241,Ealing,344,51.510894760986346,-0.2535446827535053
E01001278,Ealing,344,51.52778959698639,-0.2885203282525875
E01001534,Enfield,344,51.61898112178467,-0.1344877500292785
E01002368,Havering,344,51.525019680946514,0.1694124409886843
E01002072,Haringey,344,51.581947308327614,-0.0714918237037918
E01000939,Camden,344,51.528549847687984,-0.1209328767965531
E01002249,Havering,343,51.56894449369292,0.1785750236507308
E01033725,Hillingdon,343,51.5411167558428,-0.4702729949623502
E01002749,Islington,343,51.5585206581942,-0.1001808305809212
E01000250,Barnet,343,51.65482850043284,-0.196658840364708
E01004267,Tower Hamlets,343,51.525768912576,-0.0229298229642179
E01004420,Waltham Forest,342,51.57468383505887,-0.0162896270174331
E01002344,Havering,342,51.49847849515971,0.1919545931737052
E01000029,Barking and Dagenham,341,51.580430652714746,0.1343654342256145
E01004290,Tower Hamlets,341,51.52073604297494,-0.0464181442921028
E01003763,Redbridge,341,51.59566570691218,0.0455375144253901
E01001445,Enfield,340,51.6758814694408,-0.0194579333129707
E01002067,Haringey,340,51.58697193366721,-0.0836682232871152
E01000491,Brent,339,51.54116861049162,-0.214327832314415
E01002803,Islington,339,51.53185813765556,-0.1011483421052358
E01002009,Haringey,339,51.57094553936134,-0.1413764480811153
E01000898,Camden,339,51.55237115896524,-0.1650070324301483
E01003502,Newham,339,51.51801615397885,0.0120812413781184
E01000139,Barnet,339,51.55831545379246,-0.2020901307903861
E01000264,Barnet,338,51.6200216262593,-0.2531975842880566
E01003071,Lambeth,338,51.456794565525925,-0.1044525650043142
E01004410,Waltham Forest,338,51.58562495584647,-0.0105241902571021
E01004659,Westminster,338,51.5237212961522,-0.1633354419504489
E01000499,Brent,338,51.56968086817002,-0.2363290874344509
E01003945,Southwark,338,51.43245518504808,-0.0761259678805031
E01000533,Brent,337,51.538202523016366,-0.2429540252195192
E01001415,Enfield,337,51.65345545751642,-0.1490031007786456
E01003994,Southwark,337,51.487361680950016,-0.0992481779558808
E01004076,Sutton,336,51.38046938262498,-0.1425320215204927
E01004031,Southwark,336,51.49558982869017,-0.0509146523283621
E01004215,Tower Hamlets,336,51.49641428286888,-0.0134133250649999
E01004591,Wandsworth,336,51.46585042617018,-0.1550032501326397
E01004052,Southwark,335,51.46650166950507,-0.0796566541219411
E01003953,Southwark,335,51.46046076836699,-0.0775888344842506
E01004247,Tower Hamlets,335,51.512635332595806,-0.0118243109064602
E01001136,Croydon,335,51.39685766300519,-0.0782003927225721
E01004232,Tower Hamlets,335,51.52667198818396,-0.0351249949629595
E01001137,Croydon,334,51.41242496478675,-0.0855443423040325
E01000858,Camden,334,51.54147149613609,-0.1497541890108446
E01004747,Westminster,334,51.49220726559791,-0.1346556167614756
E01000921,Camden,334,51.55534303372343,-0.1392210677065742
E01001347,Ealing,334,51.533631152903006,-0.3169127781547427
E01001941,Hammersmith and Fulham,333,51.504296417828144,-0.22681932316289
E01003728,Redbridge,333,51.5553910864092,0.0681039152477006
E01003499,Newham,333,51.52397960918688,0.0222931668162117
E01001513,Enfield,333,51.65242157779311,-0.0578243629240685
E01002570,Hounslow,332,51.49273073796942,-0.2535145455676502
E01004534,Wandsworth,332,51.46997891455349,-0.166788097672507
E01001844,Hackney,331,51.542677954237575,-0.0448073136454271
E01003118,Lambeth,331,51.43214445764701,-0.1328816231244707
E01000257,Barnet,330,51.60758863953961,-0.2040538299733227
E01003051,Lambeth,330,51.46261180601301,-0.103838810997273
E01003016,Lambeth,330,51.50747632675758,-0.1127565182181656
E01000307,Barnet,330,51.575080835122776,-0.226402384443629
E01001266,Ealing,329,51.54162893782627,-0.3395467132681636
E01033731,Greenwich,329,51.4914711968863,0.0722336197975002
E01002506,Hillingdon,329,51.5054592026639,-0.4164863136558219
E01002779,Islington,329,51.55275137621497,-0.0889857578309868
E01004508,Wandsworth,329,51.46043071376385,-0.1746987684182326
E01000237,Barnet,328,51.58526771541589,-0.2269907379640516
E01000675,Bromley,328,51.40369101254527,0.0196531974466457
E01003916,Southwark,328,51.47952070347864,-0.0842636107576514
E01000643,Brent,328,51.5418862434901,-0.2361233781881665
E01002774,Islington,328,51.5629661279861,-0.1300894961586569
E01002026,Haringey,328,51.59403036793782,-0.1065594816760977
E01000315,Barnet,328,51.60811638751686,-0.164720756122553
E01000216,Barnet,327,51.57901632160709,-0.2006936458180816
E01001833,Hackney,327,51.55535398830615,-0.0703960657484639
E01002592,Hounslow,327,51.46336089730508,-0.4134733858876411
E01001794,Hackney,327,51.55639742937836,-0.053350922490097
E01002406,Hillingdon,327,51.50782720472973,-0.433200938526763
E01003255,Lewisham,326,51.440713720319,-0.0563543947556125
E01000550,Brent,326,51.53567182653279,-0.1943911722439391
E01004652,Westminster,326,51.51667637991652,-0.187780506200203
E01002887,Kensington and Chelsea,326,51.49650638946695,-0.1828548808032764
E01004733,Westminster,326,51.49878451101407,-0.1254814695181411
E01003256,Lewisham,326,51.43523394594735,-0.0560120493064099
E01004075,Southwark,326,51.44608587399283,-0.0754097238193811
E01004545,Wandsworth,326,51.44355312206981,-0.1545961733688048
E01000948,Camden,325,51.5349212288188,-0.1455978682063577
E01000233,Barnet,325,51.613542628804346,-0.2612539593346544
E01004717,Westminster,325,51.519835182665474,-0.1522935175379855
E01002063,Haringey,325,51.57392833155509,-0.1091411509156538
E01033737,Greenwich,325,51.49338469623278,0.0624015185405001
E01000510,Brent,324,51.55965769005872,-0.246040111294767
E01001240,Ealing,324,51.51651861068704,-0.2515428106479893
E01004291,Tower Hamlets,324,51.50349430556837,-0.0595998810329769
E01001238,Ealing,324,51.52072099544633,-0.2609093626201756
E01000881,Camden,324,51.550486352396376,-0.1778280008478124
E01004294,Tower Hamlets,323,51.50930165248384,-0.0679816079024748
E01001999,Haringey,323,51.58275144333737,-0.1010403565309416
E01002118,Harrow,323,51.60995107357209,-0.2837429347989844
E01001277,Ealing,323,51.53174452223516,-0.2970839329866827
E01004070,Southwark,322,51.45790992737216,-0.0921558000699096
E01002179,Harrow,322,51.5928521572408,-0.3370053857311859
E01003164,Lambeth,322,51.44106807567934,-0.1049725090893735
E01002739,Islington,322,51.55189013000269,-0.103602763030394
E01001836,Hackney,322,51.53696217284561,-0.045527560160861
E01000310,Barnet,322,51.57999216948333,-0.2238373759945676
E01003807,Richmond upon Thames,321,51.46603256962115,-0.2683934288820822
E01004061,Southwark,321,51.46789019650717,-0.0743547412296644
