LSOA21CD,Latitude,Longitude
E01000001,51.51817,-0.09715
E01000002,51.51883,-0.09197
E01000003,51.52174,-0.09533
E01000005,51.51469,-0.07628
E01000006,51.53875,0.089317
E01000007,51.54058,0.077763
E01000008,51.5391,0.068871
E01000009,51.54026,0.083517
E01000011,51.54303,0.081077
E01000012,51.54299,0.073618
E01000013,51.54368,0.149511
E01000014,51.5437,0.137945
E01000015,51.54382,0.155777
E01000016,51.54866,0.149241
E01000017,51.54887,0.146481
E01000018,51.54646,0.152642
E01000019,51.55822,0.12065
E01000020,51.55741,0.124882
E01000021,51.55435,0.116517
E01000022,51.55413,0.121715
E01000024,51.55099,0.121958
E01000025,51.54945,0.117256
E01000027,51.5909,0.141286
E01000028,51.58636,0.130174
E01000029,51.57978,0.13434
E01000030,51.58276,0.135663
E01000031,51.58097,0.143403
E01000032,51.57483,0.13444
E01000033,51.5546,0.162042
E01000034,51.55666,0.172296
E01000035,51.54915,0.16138
E01000036,51.54587,0.171148
E01000037,51.5624,0.17987
E01000038,51.56309,0.172761
E01000039,51.55384,0.179173
E01000040,51.53619,0.097895
E01000041,51.53803,0.115111
E01000042,51.53705,0.105462
E01000043,51.53388,0.09949
E01000044,51.53616,0.090093
E01000045,51.53482,0.112554
E01000046,51.53666,0.119475
E01000049,51.5305,0.086633
E01000050,51.53465,0.086
E01000051,51.53434,0.082266
E01000052,51.53236,0.094071
E01000053,51.53297,0.142374
E01000054,51.53656,0.132347
E01000055,51.53627,0.126335
E01000056,51.53437,0.137177
E01000057,51.53753,0.128499
E01000058,51.53921,0.135701
E01000059,51.53692,0.141939
E01000060,51.55837,0.152728
E01000061,51.5621,0.155515
E01000062,51.55426,0.152736
E01000063,51.55559,0.146162
E01000064,51.55213,0.156631
E01000065,51.55292,0.143671
E01000066,51.54692,0.105687
E01000067,51.54703,0.100456
E01000068,51.54312,0.08757
E01000069,51.54261,0.100757
E01000070,51.54574,0.092032
E01000071,51.54038,0.102587
E01000072,51.54251,0.111208
E01000073,51.5475,0.113069
E01000074,51.54546,0.120735
E01000075,51.5437,0.127849
E01000076,51.54157,0.12051
E01000077,51.54962,0.126337
E01000078,51.55273,0.132165
E01000079,51.54645,0.138175
E01000080,51.54803,0.130114
E01000081,51.55016,0.138724
E01000082,51.55399,0.138225
E01000083,51.55361,0.128398
E01000084,51.53958,0.146073
E01000085,51.53797,0.150208
E01000086,51.53731,0.14601
E01000087,51.53088,0.151071
E01000088,51.53392,0.155915
E01000089,51.53045,0.160279
E01000090,51.52093,0.154581
E01000091,51.52776,0.109142
E01000093,51.52963,0.102525
E01000094,51.52374,0.114363
E01000095,51.5248,0.138271
E01000096,51.53067,0.113141
E01000097,51.56388,0.128748
E01000098,51.55961,0.127539
