LSOA code,Burglary_Count,Borough,longitude,latitude,Cumulative,Cumulative_Percent
E01032739,2294,City of London,-0.0861557905144666,51.5132646465817,2294,1.58460433244916
E01032740,911,City of London,-0.1077474835179265,51.51416915268333,3205,2.213887046861185
E01035716,409,Westminster,-0.1395248839704421,51.51283993250714,3614,2.4964080459770113
E01004763,370,Westminster,-0.1338912074312295,51.51615185155273,3984,2.7519893899204244
E01000005,352,City of London,-0.0748212891487692,51.512525208583455,4336,2.995137046861185
E01004734,310,Westminster,-0.1288369611692924,51.51151767461441,4646,3.2092727674624224
E01033708,292,Hackney,-0.0823213387915337,51.5235351596478,4938,3.4109748010610077
E01004765,265,Westminster,-0.1429094074280267,51.51794507090353,5203,3.594026304155615
E01004714,263,Westminster,-0.1529451600909181,51.5160893757661,5466,3.7756962864721486
E01004736,241,Westminster,-0.1354414570675914,51.50609519294572,5707,3.9421695402298855
E01004735,240,Westminster,-0.1164414328247167,51.51218582944478,5947,4.107952033598585
E01000919,218,Camden,-0.1272888909645296,51.51489530912399,6165,4.258537798408488
E01000914,197,Camden,-0.116087239213138,51.518228672599065,6362,4.39461759504863
E01003929,188,Southwark,-0.0933077313175226,51.50340071413796,6550,4.524480548187445
E01003876,174,Richmond upon Thames,-0.3058410978886226,51.46086415163269,6724,4.644672855879752
E01004761,172,Westminster,-0.1467890869187152,51.50773433647471,6896,4.763483642793988
E01004307,168,Tower Hamlets,-0.0762804605269412,51.52002831005228,7064,4.879531388152078
E01002704,168,Islington,-0.0879811195283865,51.52281216832683,7232,4.9955791335101685
E01033595,151,Westminster,-0.1412942715448555,51.51255972474919,7383,5.099883952254642
E01000918,150,Camden,-0.1226591608898983,51.51663548670272,7533,5.20349801061008
E01003047,148,Lambeth,-0.1123987007881011,51.46427739403399,7681,5.305730548187445
E01004699,144,Westminster,-0.1892543161168921,51.51398185645151,7825,5.405200044208665
E01000916,142,Camden,-0.1079966712092325,51.520553770834326,7967,5.503288019451812
E01032764,141,Tower Hamlets,-0.0211772060835079,51.53476088665207,8108,5.6006852343059235
E01002968,139,Kingston upon Thames,-0.3038202755603752,51.41009589860722,8247,5.696700928381962
E01000851,137,Camden,-0.1368781746127996,51.52038413754531,8384,5.7913351016799295
E01033704,137,Hackney,-0.0585471609177886,51.5418074330595,8521,5.885969274977896
E01033594,134,Westminster,-0.1736932126304657,51.51690441657786,8655,5.978531167108754
E01004661,132,Westminster,-0.1631909601448105,51.520832973689934,8787,6.069711538461538
E01003013,130,Lambeth,-0.1191668624342476,51.50047758663296,8917,6.159510389036251
E01001943,128,Hammersmith and Fulham,-0.2219225465405573,51.50731053230843,9045,6.247927718832892
E01000863,128,Camden,-0.1438053855628785,51.53861361493142,9173,6.336345048629531
E01002724,127,Islington,-0.1045232665280789,51.52238224393776,9300,6.424071618037135
E01004657,127,Westminster,-0.1585281491239923,51.5162692209971,9427,6.5117981874447395
E01002794,125,Islington,-0.1047050077786709,51.53711735853595,9552,6.598143236074271
E01003979,124,Southwark,-0.0812630851382846,51.4946626819136,9676,6.683797524314766
E01004430,121,Waltham Forest,-0.0113841612782047,51.556072730845386,9797,6.767379531388153
E01033706,120,Hackney,-0.0784255612991827,51.527660910800265,9917,6.8502707780725025
E01000855,118,Camden,-0.1255473528534221,51.52033988646303,10035,6.931780503978779
E01003934,117,Southwark,-0.1028426290913626,51.506663108576205,10152,7.012599469496021
E01000850,117,Camden,-0.1312623267673433,51.52050940330355,10269,7.0934184350132625
E01001429,113,Enfield,-0.0586846705452137,51.62443845525223,10382,7.171474358974359
E01001898,113,Hammersmith and Fulham,-0.2238598153246534,51.49313196041263,10495,7.2495302829354555
E01003318,112,Lewisham,-0.0228164446006947,51.44243220086874,10607,7.326895446507516
E01002521,111,Hillingdon,-0.483628877117382,51.5463482826124,10718,7.403569849690539
E01033699,111,Hackney,-0.0735066432766016,51.55000001871263,10829,7.480244252873564
E01000545,109,Brent,-0.2021529382169276,51.54374017123221,10938,7.555537135278515
E01032582,108,Lambeth,-0.1134256592349305,51.5025254564267,11046,7.63013925729443
E01001247,108,Ealing,-0.27670372486877,51.52579999636633,11154,7.704741379310345
E01003131,107,Lambeth,-0.1290823743484514,51.44035831850043,11261,7.778652740937224
E01004762,106,Westminster,-0.15550807022453,51.51207110448009,11367,7.851873342175067
E01004208,106,Tower Hamlets,-0.057427646208307,51.52070433010483,11473,7.925093943412909
E01000002,105,City of London,-0.0929347770166017,51.518746134561525,11578,7.997623784261715
E01004474,104,Wandsworth,-0.1509764652499001,51.44530128247419,11682,8.069462864721485
E01004731,104,Westminster,-0.1337032853796483,51.50086984707012,11786,8.141301945181254
E01003783,104,Redbridge,0.0696574824638553,51.56041332537666,11890,8.213141025641026
E01033712,104,Hackney,-0.0600756383840188,51.53663982534843,11994,8.284980106100797
E01004654,104,Westminster,-0.193059121665148,51.51422146080797,12098,8.356819186560566
E01002770,102,Islington,-0.1380724241192307,51.567752025928016,12200,8.427276746242264
E01000930,102,Camden,-0.1907371955842056,51.53737376885231,12302,8.497734305923961
E01000144,101,Barnet,-0.1983719940662772,51.57504945879685,12403,8.567501105216623
E01003521,101,Newham,0.0535070938082113,51.535273962926766,12504,8.637267904509285
E01003304,101,Lewisham,-0.0274242032819492,51.47718124663257,12605,8.707034703801945
E01004663,100,Westminster,-0.1639970064588873,51.51875691545827,12705,8.776110742705571
E01002735,99,Islington,-0.1096144415701692,51.56633424777776,12804,8.84449602122016
E01004067,99,Southwark,-0.0683493424841099,51.4723947639435,12903,8.912881299734748
E01002130,99,Harrow,-0.3325271955459422,51.58499187169097,13002,8.981266578249338
E01002034,99,Haringey,-0.0676736529081024,51.605720791901774,13101,9.049651856763925
E01004675,99,Westminster,-0.1981726839282265,51.5244321420572,13200,9.118037135278515
E01000001,98,City of London,-0.0963606424096297,51.51801909758552,13298,9.185731653404067
E01033583,98,Newham,-0.0084158868348799,51.54527014206563,13396,9.25342617152962
E01001849,98,Hackney,-0.0225735993758105,51.545672197163725,13494,9.321120689655173
E01004682,97,Westminster,-0.1762740544895995,51.51442034249017,13591,9.38812444739169
E01002819,96,Kensington and Chelsea,-0.1684913843684597,51.497440187359885,13687,9.454437444739169
E01000141,95,Barnet,-0.2165268874140727,51.560877535653646,13782,9.520059681697612
E01032583,95,Southwark,-0.1045404785296665,51.50235096561194,13877,9.585681918656057
E01000931,95,Camden,-0.1979269602722677,51.543746534373966,13972,9.6513041556145
E01001333,95,Ealing,-0.3781507196219796,51.5028524736955,14067,9.716926392572944
E01001731,95,Hackney,-0.0527027896427062,51.54534596503356,14162,9.782548629531389
E01003689,94,Redbridge,0.0736783818711485,51.55666269664026,14256,9.847480106100797
E01003778,94,Redbridge,0.0246784974809557,51.57726102663605,14350,9.912411582670204
E01004203,94,Tower Hamlets,-0.060401109269326,51.52822713256077,14444,9.977343059239612
E01035670,93,Tower Hamlets,-0.0415816595157635,51.52451810653727,14537,10.041583775419982
E01001941,93,Hammersmith and Fulham,-0.22681932316289,51.504296417828144,14630,10.105824491600353
E01001361,93,Ealing,-0.3735425083772755,51.50879761635569,14723,10.170065207780725
E01000146,92,Barnet,-0.1980519800196871,51.570201546415575,14815,10.23361516357206
