LSOA code,year,Month_Num,Burglary_Count,IMD SCORE,EMPLOYMENT SCORE,EDUCATION SKILLS AND TRAINING SCORE,INCOME SCORE,BARRIERS TO HOUSING AND SERVICES SCORE,LIVING ENVIRONMENT SCORE,longitude,latitude
E01000001,2011,6,1,6.16,0.01,0.21,0.01,32.6,26.28,-0.0963606424096297,51.51801909758552
E01000001,2011,8,1,6.16,0.01,0.21,0.01,32.6,26.28,-0.0963606424096297,51.51801909758552
E01000001,2011,12,2,6.16,0.01,0.21,0.01,32.6,26.28,-0.0963606424096297,51.51801909758552
E01000001,2012,1,1,6.16,0.01,0.21,0.01,32.6,26.28,-0.0963606424096297,51.51801909758552
E01000001,2012,3,2,6.16,0.01,0.21,0.01,32.6,26.28,-0.0963606424096297,51.51801909758552
E01000001,2012,5,1,6.16,0.01,0.21,0.01,32.6,26.28,-0.0963606424096297,51.51801909758552
E01000001,2012,6,1,6.16,0.01,0.21,0.01,32.6,26.28,-0.0963606424096297,51.51801909758552
E01000001,2012,7,8,6.16,0.01,0.21,0.01,32.6,26.28,-0.0963606424096297,51.51801909758552
E01000001,2012,9,1,6.16,0.01,0.21,0.01,32.6,26.28,-0.0963606424096297,51.51801909758552
E01000001,2012,10,1,6.16,0.01,0.21,0.01,32.6,26.28,-0.0963606424096297,51.51801909758552
E01000001,2013,5,1,6.16,0.01,0.21,0.01,32.6,26.28,-0.0963606424096297,51.51801909758552
E01000001,2013,6,1,6.16,0.01,0.21,0.01,32.6,26.28,-0.0963606424096297,51.51801909758552
E01000001,2013,11,1,6.16,0.01,0.21,0.01,32.6,26.28,-0.0963606424096297,51.51801909758552
E01000001,2013,12,1,6.16,0.01,0.21,0.01,32.6,26.28,-0.0963606424096297,51.51801909758552
E01000001,2014,7,4,6.16,0.01,0.21,0.01,32.6,26.28,-0.0963606424096297,51.51801909758552
E01000001,2014,10,1,6.16,0.01,0.21,0.01,32.6,26.28,-0.0963606424096297,51.51801909758552
E01000001,2015,2,1,6.063,0.015,0.021,0.011,27.134,34.502,-0.0963606424096297,51.51801909758552
E01000001,2015,6,2,6.063,0.015,0.021,0.011,27.134,34.502,-0.0963606424096297,51.51801909758552
E01000001,2015,7,1,6.063,0.015,0.021,0.011,27.134,34.502,-0.0963606424096297,51.51801909758552
E01000001,2015,8,1,6.063,0.015,0.021,0.011,27.134,34.502,-0.0963606424096297,51.51801909758552
E01000001,2015,11,2,6.063,0.015,0.021,0.011,27.134,34.502,-0.0963606424096297,51.51801909758552
E01000001,2016,1,1,6.063,0.015,0.021,0.011,27.134,34.502,-0.0963606424096297,51.51801909758552
E01000001,2016,4,1,6.063,0.015,0.021,0.011,27.134,34.502,-0.0963606424096297,51.51801909758552
E01000001,2016,5,1,6.063,0.015,0.021,0.011,27.134,34.502,-0.0963606424096297,51.51801909758552
E01000001,2016,6,1,6.063,0.015,0.021,0.011,27.134,34.502,-0.0963606424096297,51.51801909758552
E01000001,2016,7,1,6.063,0.015,0.021,0.011,27.134,34.502,-0.0963606424096297,51.51801909758552
E01000001,2016,8,1,6.063,0.015,0.021,0.011,27.134,34.502,-0.0963606424096297,51.51801909758552
E01000001,2016,10,1,6.063,0.015,0.021,0.011,27.134,34.502,-0.0963606424096297,51.51801909758552
E01000001,2016,11,1,6.063,0.015,0.021,0.011,27.134,34.502,-0.0963606424096297,51.51801909758552
E01000001,2017,2,1,6.063,0.015,0.021,0.011,27.134,34.502,-0.0963606424096297,51.51801909758552
E01000001,2017,3,1,6.063,0.015,0.021,0.011,27.134,34.502,-0.0963606424096297,51.51801909758552
E01000001,2017,4,1,6.063,0.015,0.021,0.011,27.134,34.502,-0.0963606424096297,51.51801909758552
E01000001,2017,5,2,6.063,0.015,0.021,0.011,27.134,34.502,-0.0963606424096297,51.51801909758552
E01000001,2017,6,1,6.063,0.015,0.021,0.011,27.134,34.502,-0.0963606424096297,51.51801909758552
E01000001,2017,9,2,6.063,0.015,0.021,0.011,27.134,34.502,-0.0963606424096297,51.51801909758552
E01000001,2018,1,2,6.063,0.015,0.021,0.011,27.134,34.502,-0.0963606424096297,51.51801909758552
E01000001,2018,6,2,6.063,0.015,0.021,0.011,27.134,34.502,-0.0963606424096297,51.51801909758552
E01000001,2018,7,1,6.063,0.015,0.021,0.011,27.134,34.502,-0.0963606424096297,51.51801909758552
E01000001,2018,8,2,6.063,0.015,0.021,0.011,27.134,34.502,-0.0963606424096297,51.51801909758552
E01000001,2018,12,1,6.063,0.015,0.021,0.011,27.134,34.502,-0.0963606424096297,51.51801909758552
E01000001,2019,6,3,6.208,0.01,0.024,0.007,29.472,31.873,-0.0963606424096297,51.51801909758552
E01000001,2019,9,1,6.208,0.01,0.024,0.007,29.472,31.873,-0.0963606424096297,51.51801909758552
E01000001,2019,12,2,6.208,0.01,0.024,0.007,29.472,31.873,-0.0963606424096297,51.51801909758552
E01000001,2020,1,1,6.208,0.01,0.024,0.007,29.472,31.873,-0.0963606424096297,51.51801909758552
E01000001,2020,5,1,6.208,0.01,0.024,0.007,29.472,31.873,-0.0963606424096297,51.51801909758552
E01000001,2020,11,1,6.208,0.01,0.024,0.007,29.472,31.873,-0.0963606424096297,51.51801909758552
E01000001,2021,4,1,6.208,0.01,0.024,0.007,29.472,31.873,-0.0963606424096297,51.51801909758552
E01000001,2021,5,2,6.208,0.01,0.024,0.007,29.472,31.873,-0.0963606424096297,51.51801909758552
E01000001,2021,7,2,6.208,0.01,0.024,0.007,29.472,31.873,-0.0963606424096297,51.51801909758552
E01000001,2021,11,1,6.208,0.01,0.024,0.007,29.472,31.873,-0.0963606424096297,51.51801909758552
E01000001,2022,4,2,6.208,0.01,0.024,0.007,29.472,31.873,-0.0963606424096297,51.51801909758552
E01000001,2022,5,3,6.208,0.01,0.024,0.007,29.472,31.873,-0.0963606424096297,51.51801909758552
E01000001,2022,7,1,6.208,0.01,0.024,0.007,29.472,31.873,-0.0963606424096297,51.51801909758552
E01000001,2022,12,1,6.208,0.01,0.024,0.007,29.472,31.873,-0.0963606424096297,51.51801909758552
E01000001,2023,1,2,6.208,0.01,0.024,0.007,29.472,31.873,-0.0963606424096297,51.51801909758552
E01000001,2023,4,1,6.208,0.01,0.024,0.007,29.472,31.873,-0.0963606424096297,51.51801909758552
E01000001,2023,5,2,6.208,0.01,0.024,0.007,29.472,31.873,-0.0963606424096297,51.51801909758552
E01000001,2023,6,2,6.208,0.01,0.024,0.007,29.472,31.873,-0.0963606424096297,51.51801909758552
E01000001,2023,7,1,6.208,0.01,0.024,0.007,29.472,31.873,-0.0963606424096297,51.51801909758552
E01000001,2023,11,1,6.208,0.01,0.024,0.007,29.472,31.873,-0.0963606424096297,51.51801909758552
E01000001,2024,1,1,6.208,0.01,0.024,0.007,29.472,31.873,-0.0963606424096297,51.51801909758552
E01000001,2024,3,1,6.208,0.01,0.024,0.007,29.472,31.873,-0.0963606424096297,51.51801909758552
E01000001,2024,7,2,6.208,0.01,0.024,0.007,29.472,31.873,-0.0963606424096297,51.51801909758552
E01000001,2024,10,1,6.208,0.01,0.024,0.007,29.472,31.873,-0.0963606424096297,51.51801909758552
E01000001,2024,11,2,6.208,0.01,0.024,0.007,29.472,31.873,-0.0963606424096297,51.51801909758552
E01000001,2024,12,1,6.208,0.01,0.024,0.007,29.472,31.873,-0.0963606424096297,51.51801909758552
E01000002,2010,12,1,5.59,0.01,0.26,0.01,30.26,25.73,-0.0929347770166017,51.518746134561525
E01000002,2011,1,2,5.59,0.01,0.26,0.01,30.26,25.73,-0.0929347770166017,51.518746134561525
E01000002,2011,2,1,5.59,0.01,0.26,0.01,30.26,25.73,-0.0929347770166017,51.518746134561525
E01000002,2011,3,2,5.59,0.01,0.26,0.01,30.26,25.73,-0.0929347770166017,51.518746134561525
E01000002,2011,4,2,5.59,0.01,0.26,0.01,30.26,25.73,-0.0929347770166017,51.518746134561525
E01000002,2011,5,1,5.59,0.01,0.26,0.01,30.26,25.73,-0.0929347770166017,51.518746134561525
E01000002,2011,7,1,5.59,0.01,0.26,0.01,30.26,25.73,-0.0929347770166017,51.518746134561525
E01000002,2011,8,1,5.59,0.01,0.26,0.01,30.26,25.73,-0.0929347770166017,51.518746134561525
E01000002,2011,12,1,5.59,0.01,0.26,0.01,30.26,25.73,-0.0929347770166017,51.518746134561525
E01000002,2012,1,1,5.59,0.01,0.26,0.01,30.26,25.73,-0.0929347770166017,51.518746134561525
E01000002,2012,3,4,5.59,0.01,0.26,0.01,30.26,25.73,-0.0929347770166017,51.518746134561525
E01000002,2012,4,2,5.59,0.01,0.26,0.01,30.26,25.73,-0.0929347770166017,51.518746134561525
E01000002,2012,5,1,5.59,0.01,0.26,0.01,30.26,25.73,-0.0929347770166017,51.518746134561525
E01000002,2012,6,1,5.59,0.01,0.26,0.01,30.26,25.73,-0.0929347770166017,51.518746134561525
E01000002,2012,7,1,5.59,0.01,0.26,0.01,30.26,25.73,-0.0929347770166017,51.518746134561525
E01000002,2013,1,4,5.59,0.01,0.26,0.01,30.26,25.73,-0.0929347770166017,51.518746134561525
E01000002,2013,4,1,5.59,0.01,0.26,0.01,30.26,25.73,-0.0929347770166017,51.518746134561525
E01000002,2013,6,1,5.59,0.01,0.26,0.01,30.26,25.73,-0.0929347770166017,51.518746134561525
E01000002,2013,7,1,5.59,0.01,0.26,0.01,30.26,25.73,-0.0929347770166017,51.518746134561525
